ids,labels,parents
Develop Vision & Strategy,Develop Vision & Strategy,
Market & Sell Products,Market & Sell Products,
Develop Products,Develop Products,
Manage Supply Chain,Manage Supply Chain,
Manage Distribution Network & Retail,Manage Distribution Network & Retail,
Provide Financial Products,Provide Financial Products,
Manage Financial Resources,Manage Financial Resources,
Manage Customer Relationship,Manage Customer Relationship,
Develop Human Capital,Develop Human Capital,
Manage Risk & Compliance,Manage Risk & Compliance,
Manage Information Technology,Manage Information Technology,
Develop Vision & Strategy-Define Long-Term Vision,Define Long-Term Vision,Develop Vision & Strategy
Develop Vision & Strategy-Develop Business Strategy,Develop Business Strategy,Develop Vision & Strategy
Develop Vision & Strategy-Manage Strategic Initiatives,Manage Strategic Initiatives,Develop Vision & Strategy
Develop Vision & Strategy-Promote Sustainability,Promote Sustainability,Develop Vision & Strategy
Market & Sell Products-Develop Marketing Plan,Develop Marketing Plan,Market & Sell Products
Market & Sell Products-Manage Campaigns & Leads,Manage Campaigns & Leads,Market & Sell Products
Market & Sell Products-Manage Brand,Manage Brand,Market & Sell Products
Market & Sell Products-Manage Sales Plans,Manage Sales Plans,Market & Sell Products
Market & Sell Products-Manage Pricing & Incentives,Manage Pricing & Incentives,Market & Sell Products
Market & Sell Products-Enable Online Sales,Enable Online Sales,Market & Sell Products
Market & Sell Products-Enable Customized Sales,Enable Customized Sales,Market & Sell Products
Market & Sell Products-Enable Customer Community,Enable Customer Community,Market & Sell Products
Develop Products-Design Products,Design Products,Develop Products
Develop Products-Design Customizations,Design Customizations,Develop Products
Develop Products-Manage Product Pipeline,Manage Product Pipeline,Develop Products
Develop Products-Build Prototypes,Build Prototypes,Develop Products
Develop Products-Test & Certify Products,Test & Certify Products,Develop Products
Manage Supply Chain-Forecast Supply,Forecast Supply,Manage Supply Chain
"Manage Supply Chain-Forecast Demand"",",Forecast Demand,Manage Supply Chain
Manage Supply Chain-Source & Procure Materials,Source & Procure Materials,Manage Supply Chain
Manage Supply Chain-Operate Warehouse,Operate Warehouse,Manage Supply Chain
Manage Supply Chain-Manage Inventory,Manage Inventory,Manage Supply Chain
Manage Supply Chain-Schedule Master Production,Schedule Master Production,Manage Supply Chain
Manage Supply Chain-Manufacture Products,Manufacture Products,Manage Supply Chain
Manage Supply Chain-Fulfill Orders,Fulfill Orders,Manage Supply Chain
Manage Supply Chain-Manage Logistics,Manage Logistics,Manage Supply Chain
Manage Supply Chain-Manage Suppliers,Manage Suppliers,Manage Supply Chain
Manage Supply Chain-Ensure Quality,Ensure Quality,Manage Supply Chain
Manage Supply Chain-Maintain Assets,Maintain Assets,Manage Supply Chain
Manage Dealer Network & Retail-Determine Dealer Plans,Determine Dealer Plans,Manage Distribution Network & Retail
Manage Dealer Network & Retail-Onboard & Train Dealers,Onboard & Train Dealers,Manage Distribution Network & Retail
Manage Dealer Network & Retail-Manage Dealer Allocations,Manage Dealer Allocations,Manage Distribution Network & Retail
